国,感染者,死亡者,日付
メキシコ,5847,406,2020-04-17
カタール,4103,7,2020-04-17
ルクセンブルク,3444,69,2020-04-17
モナコ,93,0,2020-04-17
エクアドル,8225,388,2020-04-17
アイルランド,13271,486,2020-04-17
チェコ,6359,166,2020-04-17
アルメニア,1159,18,2020-04-17
ドミニカ共和国,3755,189,2020-04-17
インドネシア,5516,469,2020-04-17
アンドラ,673,33,2020-04-17
ポルトガル,18841,629,2020-04-17
ラトビア,675,5,2020-04-17
セネガル,335,2,2020-04-17
サウジアラビア,6380,79,2020-04-17
ヨルダン,402,7,2020-04-17
アルゼンチン,2571,108,2020-04-17
チリ,8807,94,2020-04-17
ウクライナ,4161,115,2020-04-17
モロッコ,2283,127,2020-04-17
チュニジア,822,35,2020-04-17
ハンガリー,1652,142,2020-04-17
リヒテンシュタイン,79,1,2020-04-17
ポーランド,7918,286,2020-04-17
スロベニア,1268,61,2020-04-17
パレスチナ,374,2,2020-04-17
ボスニア・ヘルツェゴビナ,1167,41,2020-04-17
南アフリカ,2605,34,2020-04-17
ジブラルタル（英領）,129,0,2020-04-17
ブータン,5,0,2020-04-17
カメルーン,996,17,2020-04-17
トーゴ,81,3,2020-04-17
セルビア,5318,99,2020-04-17
スロバキア,977,6,2020-04-17
バチカン,8,0,2020-04-17
コロンビア,3233,127,2020-04-17
ペルー,12491,274,2020-04-17
コスタリカ,642,3,2020-04-17
マルタ,412,3,2020-04-17
パラグアイ,174,8,2020-04-17
バングラデシュ,1572,50,2020-04-17
モルドバ,2154,46,2020-04-17
ブルガリア,800,36,2020-04-17
モルディブ,25,0,2020-04-17
ブルネイ,136,1,2020-04-17
キプロス,735,17,2020-04-17
アルバニア,518,25,2020-04-17
ブルキナファソ,546,28,2020-04-17
チャンネル諸島（英王室属領）,1,0,2020-04-17
モンゴル,31,0,2020-04-17
パナマ,3751,95,2020-04-17
ボリビア,441,28,2020-04-17
ホンジュラス,426,31,2020-04-17
コンゴ民主共和国,267,22,2020-04-17
ジャマイカ,143,5,2020-04-17
トルコ,74193,1643,2020-04-17
コートジボワール,654,6,2020-04-17
ガイアナ,55,6,2020-04-17
ガーンジー（英領）,223,7,2020-04-17
ジャージー（英領）,217,6,2020-04-17
ケイマン諸島（英領）,54,1,2020-04-17
キューバ,862,24,2020-04-17
トリニダード・トバゴ,114,8,2020-04-17
スーダン,32,5,2020-04-17
ギニア,438,1,2020-04-17
エチオピア,92,3,2020-04-17
ケニア,234,10,2020-04-17
グアテマラ,196,5,2020-04-17
ベネズエラ,197,9,2020-04-17
ガボン,80,1,2020-04-17
ガーナ,641,8,2020-04-17
アンティグア・バーブーダ,23,2,2020-04-17
カザフスタン,1402,16,2020-04-17
ウルグアイ,512,8,2020-04-17
アルバ,93,1,2020-04-17
ナミビア,16,0,2020-04-17
セーシェル,11,0,2020-04-17
セントルシア,15,0,2020-04-17
ルワンダ,138,0,2020-04-17
エスワティニ,16,0,2020-04-17
キュラソー,14,1,2020-04-17
スリナム,10,1,2020-04-17
モーリタニア,7,1,2020-04-17
コソボ,387,9,2020-04-17
コンゴ共和国,117,5,2020-04-17
セントビンセント及びクレナディーン諸島,12,0,2020-04-17
中央アフリカ,12,0,2020-04-17
ウズベキスタン,1349,4,2020-04-17
赤道ギニア,51,0,2020-04-17
リベリア,59,6,2020-04-17
タンザニア,94,4,2020-04-17
ソマリア,80,5,2020-04-17
ベナン,35,1,2020-04-17
バハマ,53,8,2020-04-17
モンテネグロ,303,4,2020-04-17
バルバドス,75,5,2020-04-17
キルギス,466,5,2020-04-17
ザンビア,48,2,2020-04-17
ジブチ,591,2,2020-04-17
ガンビア,9,1,2020-04-17
モーリシャス,324,9,2020-04-17
フィジー,17,0,2020-04-17
エルサルバドル,164,6,2020-04-17
チャド,27,0,2020-04-17
ニカラグア,9,1,2020-04-17
モントセラト（英領）,11,0,2020-04-17
マダガスカル,111,0,2020-04-17
ハイチ,41,3,2020-04-17
アンゴラ,19,2,2020-04-17
ニジェール,584,14,2020-04-17
パプアニューギニア,7,0,2020-04-17
ジンバブエ,23,3,2020-04-17
カーボベルデ,56,1,2020-04-17
エリトリア,35,0,2020-04-17
東ティモール,18,0,2020-04-17
マン島（英王室属領）,254,2,2020-04-17
ウガンダ,55,0,2020-04-17
ニューカレドニア,18,0,2020-04-17
シリア,33,2,2020-04-17
モザンビーク,31,0,2020-04-17
グレナダ,14,0,2020-04-17
ベリーズ,18,2,2020-04-17
バミューダ（英領）,57,5,2020-04-17
ミャンマー,85,4,2020-04-17
ドミニカ国,16,0,2020-04-17
ラオス,19,0,2020-04-17
タークス・カイコス諸島（英領）,10,1,2020-04-17
ギニアビサウ,43,0,2020-04-17
マリ,171,13,2020-04-17
セントクリストファー・ネービス,14,0,2020-04-17
リビア,48,1,2020-04-17
アンギラ（英領）,3,0,2020-04-17
バージン諸島（英領）,3,0,2020-04-17
シエラレオネ,15,0,2020-04-17
ブルンジ,5,0,2020-04-17
ボツワナ,13,1,2020-04-17
マラウイ,16,2,2020-04-17
ボネール、シント・ユースタティウス及びサバ,4,0,2020-04-17
フォークランド諸島（英領）,11,0,2020-04-17
西サハラ,6,0,2020-04-17
南スーダン共和国,4,0,2020-04-17
サントメ・プリンシペ,4,0,2020-04-17
イエメン共和国,1,0,2020-04-17
その他,712,13,2020-04-17
中国,82719,4632,2020-04-18
香港,1022,4,2020-04-18
マカオ,45,0,2020-04-18
日本,9795,154,2020-04-18
韓国,10653,232,2020-04-18
台湾,395,6,2020-04-18
シンガポール,5050,10,2020-04-18
ネパール,30,0,2020-04-18
タイ,2700,47,2020-04-18
ベトナム,268,0,2020-04-18
マレーシア,5251,84,2020-04-18
豪州,6522,63,2020-04-18
米国,699105,36727,2020-04-18
カナダ,30670,1250,2020-04-18
フランス,109252,18681,2020-04-18
ドイツ,140886,4326,2020-04-18
カンボジア,122,0,2020-04-18
スリランカ,244,7,2020-04-18
アラブ首長国連邦,6302,35,2020-04-18
フィンランド,3489,75,2020-04-18
フィリピン,5878,387,2020-04-18
インド,13835,452,2020-04-18
イタリア,172434,22745,2020-04-18
英国,108692,14576,2020-04-18
ロシア,31956,273,2020-04-18
スウェーデン,13216,1400,2020-04-18
スペイン,188068,19478,2020-04-18
ベルギー,36138,5163,2020-04-18
エジプト,2844,196,2020-04-18
イラン,79494,4958,2020-04-18
イスラエル,12982,140,2020-04-18
レバノン,668,21,2020-04-18
クウェート,1658,3,2020-04-18
バーレーン,1740,7,2020-04-18
オマーン,1069,5,2020-04-18
アフガニスタン,906,30,2020-04-18
イラク,1482,80,2020-04-18
アルジェリア,2418,348,2020-04-18
オーストリア,14553,431,2020-04-18
スイス,26999,1058,2020-04-18
クロアチア,1814,35,2020-04-18
ブラジル,33682,2141,2020-04-18
ジョージア,370,3,2020-04-18
パキスタン,7025,135,2020-04-18
北マケドニア,1117,46,2020-04-18
ギリシア,2224,105,2020-04-18
ノルウェー,6937,136,2020-04-18
ルーマニア,8067,387,2020-04-18
デンマーク,7268,321,2020-04-18
エストニア,1459,36,2020-04-18
オランダ,30449,3459,2020-04-18
サンマリノ,435,38,2020-04-18
リトアニア,1149,32,2020-04-18
ナイジェリア,493,11,2020-04-18
アイスランド,1754,8,2020-04-18
アゼルバイジャン,1340,15,2020-04-18
ベラルーシ,4779,40,2020-04-18
ニュージーランド,1409,11,2020-04-18
メキシコ,6297,449,2020-04-18
カタール,4663,7,2020-04-18
ルクセンブルク,3480,69,2020-04-18
モナコ,94,1,2020-04-18
エクアドル,8450,403,2020-04-18
アイルランド,13980,530,2020-04-18
チェコ,6499,169,2020-04-18
アルメニア,1201,18,2020-04-18
ドミニカ共和国,4126,196,2020-04-18
インドネシア,5923,496,2020-04-18
アンドラ,696,34,2020-04-18
ポルトガル,19022,657,2020-04-18
ラトビア,682,5,2020-04-18
セネガル,342,2,2020-04-18
サウジアラビア,7142,83,2020-04-18
ヨルダン,407,7,2020-04-18
アルゼンチン,2669,115,2020-04-18
チリ,9252,105,2020-04-18
ウクライナ,4662,125,2020-04-18
モロッコ,2564,130,2020-04-18
チュニジア,864,37,2020-04-18
ハンガリー,1763,156,2020-04-18
リヒテンシュタイン,79,1,2020-04-18
ポーランド,8379,314,2020-04-18
スロベニア,1304,61,2020-04-18
パレスチナ,402,2,2020-04-18
ボスニア・ヘルツェゴビナ,1214,42,2020-04-18
南アフリカ,2783,48,2020-04-18
ジブラルタル（英領）,131,0,2020-04-18
ブータン,5,0,2020-04-18
カメルーン,996,17,2020-04-18
トーゴ,83,5,2020-04-18
セルビア,5690,103,2020-04-18
スロバキア,1049,8,2020-04-18
バチカン,8,0,2020-04-18
コロンビア,3439,131,2020-04-18
ペルー,13489,300,2020-04-18
コスタリカ,649,4,2020-04-18
マルタ,422,3,2020-04-18
パラグアイ,199,8,2020-04-18
バングラデシュ,1838,60,2020-04-18
モルドバ,2264,54,2020-04-18
ブルガリア,846,38,2020-04-18
モルディブ,28,0,2020-04-18
ブルネイ,136,1,2020-04-18
キプロス,750,17,2020-04-18
アルバニア,539,26,2020-04-18
ブルキナファソ,557,32,2020-04-18
チャンネル諸島（英王室属領）,1,0,2020-04-18
モンゴル,31,0,2020-04-18
パナマ,4016,103,2020-04-18
ボリビア,465,29,2020-04-18
ホンジュラス,442,35,2020-04-18
コンゴ民主共和国,287,23,2020-04-18
ジャマイカ,143,5,2020-04-18
トルコ,78546,1769,2020-04-18
コートジボワール,688,6,2020-04-18
ガイアナ,63,6,2020-04-18
ガーンジー（英領）,228,8,2020-04-18
ジャージー（英領）,219,7,2020-04-18
ケイマン諸島（英領）,60,1,2020-04-18
キューバ,923,27,2020-04-18
トリニダード・トバゴ,114,8,2020-04-18
スーダン,33,5,2020-04-18
ギニア,477,1,2020-04-18
エチオピア,96,3,2020-04-18
ケニア,246,11,2020-04-18
グアテマラ,214,5,2020-04-18
ベネズエラ,204,9,2020-04-18
ガボン,108,1,2020-04-18
ガーナ,641,8,2020-04-18
アンティグア・バーブーダ,23,2,2020-04-18
カザフスタン,1546,16,2020-04-18
ウルグアイ,512,9,2020-04-18
アルバ,95,2,2020-04-18
ナミビア,16,0,2020-04-18
セーシェル,11,0,2020-04-18
セントルシア,15,0,2020-04-18
ルワンダ,143,0,2020-04-18
エスワティニ,16,1,2020-04-18
キュラソー,14,1,2020-04-18
スリナム,10,1,2020-04-18
モーリタニア,7,1,2020-04-18
コソボ,480,11,2020-04-18
コンゴ共和国,143,5,2020-04-18
セントビンセント及びクレナディーン諸島,12,0,2020-04-18
中央アフリカ,12,0,2020-04-18
ウズベキスタン,1405,4,2020-04-18
赤道ギニア,79,0,2020-04-18
リベリア,76,6,2020-04-18
タンザニア,147,4,2020-04-18
ソマリア,116,5,2020-04-18
ベナン,35,1,2020-04-18
バハマ,54,8,2020-04-18
モンテネグロ,303,4,2020-04-18
バルバドス,75,5,2020-04-18
キルギス,489,5,2020-04-18
ザンビア,52,2,2020-04-18
ジブチ,732,2,2020-04-18
ガンビア,9,1,2020-04-18
モーリシャス,324,9,2020-04-18
フィジー,17,0,2020-04-18
エルサルバドル,177,6,2020-04-18
チャド,27,0,2020-04-18
ニカラグア,9,1,2020-04-18
モントセラト（英領）,11,0,2020-04-18
マダガスカル,117,0,2020-04-18
ハイチ,43,3,2020-04-18
アンゴラ,19,2,2020-04-18
ニジェール,627,15,2020-04-18
パプアニューギニア,7,0,2020-04-18
ジンバブエ,24,3,2020-04-18
カーボベルデ,56,1,2020-04-18
エリトリア,35,0,2020-04-18
東ティモール,18,0,2020-04-18
マン島（英王室属領）,258,4,2020-04-18
ウガンダ,56,0,2020-04-18
ニューカレドニア,18,0,2020-04-18
シリア,38,2,2020-04-18
モザンビーク,34,0,2020-04-18
グレナダ,14,0,2020-04-18
ベリーズ,18,2,2020-04-18
バミューダ（英領）,81,5,2020-04-18
ミャンマー,88,4,2020-04-18
ドミニカ国,16,0,2020-04-18
ラオス,19,0,2020-04-18
タークス・カイコス諸島（英領）,11,1,2020-04-18
ギニアビサウ,43,0,2020-04-18
マリ,171,13,2020-04-18
セントクリストファー・ネービス,14,0,2020-04-18
リビア,49,1,2020-04-18
アンギラ（英領）,3,0,2020-04-18
バージン諸島（英領）,3,0,2020-04-18
シエラレオネ,26,0,2020-04-18
ブルンジ,5,0,2020-04-18
ボツワナ,15,1,2020-04-18
マラウイ,17,2,2020-04-18
ボネール、シント・ユースタティウス及びサバ,4,0,2020-04-18
フォークランド諸島（英領）,11,0,2020-04-18
西サハラ,6,0,2020-04-18
南スーダン共和国,4,0,2020-04-18
サントメ・プリンシペ,4,0,2020-04-18
イエメン共和国,1,0,2020-04-18
その他,712,13,2020-04-18
中国,82735,4632,2020-04-19
香港,1024,4,2020-04-19
マカオ,45,0,2020-04-19
日本,10361,161,2020-04-19
韓国,10661,234,2020-04-19
台湾,398,6,2020-04-19
シンガポール,5992,11,2020-04-19
ネパール,31,0,2020-04-19
タイ,2733,47,2020-04-19
ベトナム,268,0,2020-04-19
マレーシア,5305,86,2020-04-19
豪州,6547,67,2020-04-19
米国,726645,38664,2020-04-19
カナダ,33341,1467,2020-04-19
フランス,111821,19323,2020-04-19
ドイツ,143160,4459,2020-04-19
カンボジア,122,0,2020-04-19
スリランカ,254,7,2020-04-19
アラブ首長国連邦,6302,37,2020-04-19
フィンランド,3681,82,2020-04-19
フィリピン,6087,397,2020-04-19
インド,14792,488,2020-04-19
イタリア,175925,23227,2020-04-19
英国,114217,15464,2020-04-19
ロシア,36738,313,2020-04-19
スウェーデン,13822,1511,2020-04-19
スペイン,191726,20043,2020-04-19
ベルギー,37183,5453,2020-04-19
エジプト,3032,205,2020-04-19
イラン,80868,5031,2020-04-19
イスラエル,13265,148,2020-04-19
レバノン,672,21,2020-04-19
クウェート,1751,5,2020-04-19
バーレーン,1773,7,2020-04-19
オマーン,1180,6,2020-04-19
アフガニスタン,933,30,2020-04-19
イラク,1513,81,2020-04-19
アルジェリア,2534,364,2020-04-19
オーストリア,14637,443,2020-04-19
スイス,27325,1110,2020-04-19
クロアチア,1832,36,2020-04-19
ブラジル,36599,2347,2020-04-19
ジョージア,388,3,2020-04-19
パキスタン,7638,143,2020-04-19
北マケドニア,1170,49,2020-04-19
ギリシア,2235,105,2020-04-19
ノルウェー,7036,136,2020-04-19
ルーマニア,8418,400,2020-04-19
デンマーク,7437,336,2020-04-19
エストニア,1512,38,2020-04-19
オランダ,31589,3601,2020-04-19
サンマリノ,455,38,2020-04-19
リトアニア,1239,33,2020-04-19
ナイジェリア,493,11,2020-04-19
アイスランド,1760,8,2020-04-19
アゼルバイジャン,1373,15,2020-04-19
ベラルーシ,4779,43,2020-04-19
ニュージーランド,1422,11,2020-04-19
メキシコ,6875,486,2020-04-19
カタール,5008,7,2020-04-19
ルクセンブルク,3537,72,2020-04-19
モナコ,94,1,2020-04-19
エクアドル,9022,421,2020-04-19
アイルランド,14758,571,2020-04-19
チェコ,6606,173,2020-04-19
アルメニア,1248,19,2020-04-19
ドミニカ共和国,4335,200,2020-04-19
インドネシア,6248,520,2020-04-19
アンドラ,704,35,2020-04-19
ポルトガル,19685,687,2020-04-19
ラトビア,712,5,2020-04-19
セネガル,350,3,2020-04-19
サウジアラビア,8274,87,2020-04-19
ヨルダン,413,7,2020-04-19
アルゼンチン,2758,122,2020-04-19
チリ,9730,116,2020-04-19
ウクライナ,5106,133,2020-04-19
モロッコ,2685,135,2020-04-19
チュニジア,864,37,2020-04-19
ハンガリー,1834,172,2020-04-19
リヒテンシュタイン,79,1,2020-04-19
ポーランド,8742,332,2020-04-19
スロベニア,1317,66,2020-04-19
パレスチナ,418,2,2020-04-19
ボスニア・ヘルツェゴビナ,1268,44,2020-04-19
南アフリカ,3034,50,2020-04-19
ジブラルタル（英領）,133,0,2020-04-19
ブータン,5,0,2020-04-19
カメルーン,1017,21,2020-04-19
トーゴ,84,5,2020-04-19
セルビア,5994,110,2020-04-19
スロバキア,1089,9,2020-04-19
バチカン,8,0,2020-04-19
コロンビア,3439,144,2020-04-19
ペルー,14420,348,2020-04-19
コスタリカ,649,4,2020-04-19
マルタ,426,3,2020-04-19
パラグアイ,202,8,2020-04-19
バングラデシュ,2144,75,2020-04-19
モルドバ,2378,56,2020-04-19
ブルガリア,878,41,2020-04-19
モルディブ,34,0,2020-04-19
ブルネイ,137,1,2020-04-19
キプロス,761,17,2020-04-19
アルバニア,548,26,2020-04-19
ブルキナファソ,565,32,2020-04-19
チャンネル諸島（英王室属領）,1,0,2020-04-19
モンゴル,31,0,2020-04-19
パナマ,4210,109,2020-04-19
ボリビア,493,31,2020-04-19
ホンジュラス,457,41,2020-04-19
コンゴ民主共和国,307,23,2020-04-19
ジャマイカ,163,5,2020-04-19
トルコ,82329,1890,2020-04-19
コートジボワール,742,6,2020-04-19
ガイアナ,63,6,2020-04-19
ガーンジー（英領）,234,9,2020-04-19
ジャージー（英領）,223,10,2020-04-19
ケイマン諸島（英領）,61,1,2020-04-19
キューバ,986,31,2020-04-19
トリニダード・トバゴ,114,8,2020-04-19
スーダン,66,6,2020-04-19
ギニア,518,1,2020-04-19
エチオピア,105,3,2020-04-19
ケニア,262,11,2020-04-19
グアテマラ,235,7,2020-04-19
ベネズエラ,227,9,2020-04-19
ガボン,108,1,2020-04-19
ガーナ,834,8,2020-04-19
アンティグア・バーブーダ,23,2,2020-04-19
カザフスタン,1615,17,2020-04-19
ウルグアイ,512,9,2020-04-19
アルバ,96,2,2020-04-19
ナミビア,16,0,2020-04-19
セーシェル,11,0,2020-04-19
セントルシア,15,0,2020-04-19
ルワンダ,144,0,2020-04-19
エスワティニ,22,1,2020-04-19
キュラソー,14,1,2020-04-19
スリナム,10,1,2020-04-19
モーリタニア,7,1,2020-04-19
コソボ,480,12,2020-04-19
コンゴ共和国,143,6,2020-04-19
セントビンセント及びクレナディーン諸島,12,0,2020-04-19
中央アフリカ,12,0,2020-04-19
ウズベキスタン,1490,4,2020-04-19
赤道ギニア,79,0,2020-04-19
リベリア,76,7,2020-04-19
タンザニア,147,5,2020-04-19
ソマリア,135,5,2020-04-19
ベナン,35,1,2020-04-19
バハマ,54,9,2020-04-19
モンテネグロ,307,5,2020-04-19
バルバドス,75,5,2020-04-19
キルギス,506,5,2020-04-19
ザンビア,57,2,2020-04-19
ジブチ,732,2,2020-04-19
ガンビア,9,1,2020-04-19
モーリシャス,325,9,2020-04-19
フィジー,17,0,2020-04-19
エルサルバドル,190,7,2020-04-19
チャド,33,0,2020-04-19
ニカラグア,9,1,2020-04-19
モントセラト（英領）,11,0,2020-04-19
マダガスカル,120,0,2020-04-19
ハイチ,44,3,2020-04-19
アンゴラ,24,2,2020-04-19
ニジェール,627,18,2020-04-19
パプアニューギニア,7,0,2020-04-19
ジンバブエ,24,3,2020-04-19
カーボベルデ,58,1,2020-04-19
エリトリア,39,0,2020-04-19
東ティモール,18,0,2020-04-19
マン島（英王室属領）,289,4,2020-04-19
ウガンダ,55,0,2020-04-19
ニューカレドニア,18,0,2020-04-19
シリア,38,2,2020-04-19
モザンビーク,34,0,2020-04-19
グレナダ,14,0,2020-04-19
ベリーズ,18,2,2020-04-19
バミューダ（英領）,83,5,2020-04-19
ミャンマー,98,5,2020-04-19
ドミニカ国,16,0,2020-04-19
ラオス,19,0,2020-04-19
タークス・カイコス諸島（英領）,11,1,2020-04-19
ギニアビサウ,46,0,2020-04-19
マリ,216,13,2020-04-19
セントクリストファー・ネービス,14,0,2020-04-19
リビア,49,1,2020-04-19
アンギラ（英領）,3,0,2020-04-19
バージン諸島（英領）,3,0,2020-04-19
シエラレオネ,30,0,2020-04-19
ブルンジ,5,0,2020-04-19
ボツワナ,15,1,2020-04-19
マラウイ,17,2,2020-04-19
ボネール、シント・ユースタティウス及びサバ,5,0,2020-04-19
フォークランド諸島（英領）,11,0,2020-04-19
西サハラ,6,0,2020-04-19
南スーダン共和国,4,0,2020-04-19
サントメ・プリンシペ,4,0,2020-04-19
イエメン共和国,1,0,2020-04-19
その他,712,13,2020-04-19
中国,82747,4632,2020-04-20
香港,1026,4,2020-04-20
マカオ,45,0,2020-04-20
日本,10751,171,2020-04-20
韓国,10674,236,2020-04-20
台湾,420,6,2020-04-20
シンガポール,6588,11,2020-04-20
ネパール,31,0,2020-04-20
タイ,2765,47,2020-04-20
ベトナム,268,0,2020-04-20
マレーシア,5389,88,2020-04-20
豪州,6547,69,2020-04-20
米国,759118,40665,2020-04-20
カナダ,33922,1506,2020-04-20
フランス,112606,19718,2020-04-20
ドイツ,145742,4642,2020-04-20
カンボジア,122,0,2020-04-20
スリランカ,271,7,2020-04-20
アラブ首長国連邦,6781,37,2020-04-20
フィンランド,3783,90,2020-04-20
フィリピン,6259,409,2020-04-20
インド,16116,519,2020-04-20
イタリア,178972,23660,2020-04-20
英国,120067,16060,2020-04-20
ロシア,42795,361,2020-04-20
スウェーデン,14385,1540,2020-04-20
スペイン,195944,20453,2020-04-20
ベルギー,38496,5683,2020-04-20
エジプト,3144,224,2020-04-20
イラン,80868,5031,2020-04-20
イスラエル,13491,158,2020-04-20
レバノン,673,21,2020-04-20
クウェート,1915,6,2020-04-20
バーレーン,1881,7,2020-04-20
オマーン,1266,6,2020-04-20
アフガニスタン,996,30,2020-04-20
イラク,1539,82,2020-04-20
アルジェリア,2629,367,2020-04-20
オーストリア,14696,452,2020-04-20
スイス,27661,1134,2020-04-20
クロアチア,1871,39,2020-04-20
ブラジル,38654,2462,2020-04-20
ジョージア,394,4,2020-04-20
パキスタン,8348,159,2020-04-20
北マケドニア,1207,49,2020-04-20
ギリシア,2235,105,2020-04-20
ノルウェー,7078,148,2020-04-20
ルーマニア,8746,417,2020-04-20
デンマーク,7580,346,2020-04-20
エストニア,1528,38,2020-04-20
オランダ,32655,3684,2020-04-20
サンマリノ,461,39,2020-04-20
リトアニア,1298,33,2020-04-20
ナイジェリア,627,11,2020-04-20
アイスランド,1771,9,2020-04-20
アゼルバイジャン,1398,18,2020-04-20
ベラルーシ,4779,45,2020-04-20
ニュージーランド,1431,11,2020-04-20
メキシコ,7497,546,2020-04-20
カタール,5448,8,2020-04-20
ルクセンブルク,3550,72,2020-04-20
モナコ,94,1,2020-04-20
エクアドル,9468,456,2020-04-20
アイルランド,15251,610,2020-04-20
チェコ,6746,181,2020-04-20
アルメニア,1291,20,2020-04-20
ドミニカ共和国,4680,217,2020-04-20
インドネシア,6575,535,2020-04-20
アンドラ,713,35,2020-04-20
ポルトガル,20206,714,2020-04-20
ラトビア,727,5,2020-04-20
セネガル,367,3,2020-04-20
サウジアラビア,9362,92,2020-04-20
ヨルダン,417,7,2020-04-20
アルゼンチン,2941,129,2020-04-20
チリ,10088,126,2020-04-20
ウクライナ,5449,141,2020-04-20
モロッコ,2855,137,2020-04-20
チュニジア,879,37,2020-04-20
ハンガリー,1916,189,2020-04-20
リヒテンシュタイン,79,1,2020-04-20
ポーランド,9287,347,2020-04-20
スロベニア,1330,70,2020-04-20
パレスチナ,437,2,2020-04-20
ボスニア・ヘルツェゴビナ,1285,46,2020-04-20
南アフリカ,3158,52,2020-04-20
ジブラルタル（英領）,133,0,2020-04-20
ブータン,5,0,2020-04-20
カメルーン,1017,21,2020-04-20
トーゴ,84,5,2020-04-20
セルビア,6318,117,2020-04-20
スロバキア,1161,11,2020-04-20
バチカン,8,0,2020-04-20
コロンビア,3792,153,2020-04-20
ペルー,15628,400,2020-04-20
コスタリカ,660,4,2020-04-20
マルタ,427,3,2020-04-20
パラグアイ,206,8,2020-04-20
バングラデシュ,2456,84,2020-04-20
モルドバ,2472,60,2020-04-20
ブルガリア,894,41,2020-04-20
モルディブ,52,0,2020-04-20
ブルネイ,138,1,2020-04-20
キプロス,767,17,2020-04-20
アルバニア,562,26,2020-04-20
ブルキナファソ,576,32,2020-04-20
チャンネル諸島（英王室属領）,1,0,2020-04-20
モンゴル,32,0,2020-04-20
パナマ,4273,115,2020-04-20
ボリビア,520,31,2020-04-20
ホンジュラス,472,46,2020-04-20
コンゴ民主共和国,327,25,2020-04-20
ジャマイカ,173,5,2020-04-20
トルコ,86306,2017,2020-04-20
コートジボワール,847,6,2020-04-20
ガイアナ,65,6,2020-04-20
ガーンジー（英領）,236,9,2020-04-20
ジャージー（英領）,234,11,2020-04-20
ケイマン諸島（英領）,61,1,2020-04-20
キューバ,1035,32,2020-04-20
トリニダード・トバゴ,114,8,2020-04-20
スーダン,66,10,2020-04-20
ギニア,579,3,2020-04-20
エチオピア,108,3,2020-04-20
ケニア,270,12,2020-04-20
グアテマラ,257,7,2020-04-20
ベネズエラ,256,9,2020-04-20
ガボン,109,1,2020-04-20
ガーナ,1042,9,2020-04-20
アンティグア・バーブーダ,23,2,2020-04-20
カザフスタン,1676,17,2020-04-20
ウルグアイ,512,9,2020-04-20
アルバ,96,2,2020-04-20
ナミビア,16,0,2020-04-20
セーシェル,11,0,2020-04-20
セントルシア,15,0,2020-04-20
ルワンダ,147,0,2020-04-20
エスワティニ,22,1,2020-04-20
キュラソー,14,1,2020-04-20
スリナム,10,1,2020-04-20
モーリタニア,7,1,2020-04-20
コソボ,510,12,2020-04-20
コンゴ共和国,143,6,2020-04-20
セントビンセント及びクレナディーン諸島,12,0,2020-04-20
中央アフリカ,12,0,2020-04-20
ウズベキスタン,1565,5,2020-04-20
赤道ギニア,79,0,2020-04-20
リベリア,91,7,2020-04-20
タンザニア,170,5,2020-04-20
ソマリア,164,7,2020-04-20
ベナン,35,1,2020-04-20
バハマ,60,9,2020-04-20
モンテネグロ,308,5,2020-04-20
バルバドス,75,5,2020-04-20
キルギス,554,5,2020-04-20
ザンビア,61,2,2020-04-20
ジブチ,846,2,2020-04-20
ガンビア,10,1,2020-04-20
モーリシャス,328,9,2020-04-20
フィジー,17,0,2020-04-20
エルサルバドル,201,7,2020-04-20
チャド,33,0,2020-04-20
ニカラグア,10,1,2020-04-20
モントセラト（英領）,11,0,2020-04-20
マダガスカル,121,0,2020-04-20
ハイチ,47,3,2020-04-20
アンゴラ,24,2,2020-04-20
ニジェール,648,19,2020-04-20
パプアニューギニア,7,0,2020-04-20
ジンバブエ,25,3,2020-04-20
カーボベルデ,61,1,2020-04-20
エリトリア,39,0,2020-04-20
東ティモール,19,0,2020-04-20
マン島（英王室属領）,291,4,2020-04-20
ウガンダ,55,0,2020-04-20
ニューカレドニア,18,0,2020-04-20
シリア,39,2,2020-04-20
モザンビーク,39,0,2020-04-20
グレナダ,14,0,2020-04-20
ベリーズ,18,2,2020-04-20
バミューダ（英領）,83,5,2020-04-20
ミャンマー,111,5,2020-04-20
ドミニカ国,16,0,2020-04-20
ラオス,19,0,2020-04-20
タークス・カイコス諸島（英領）,11,1,2020-04-20
ギニアビサウ,50,0,2020-04-20
マリ,224,13,2020-04-20
セントクリストファー・ネービス,14,0,2020-04-20
リビア,51,1,2020-04-20
アンギラ（英領）,3,0,2020-04-20
バージン諸島（英領）,3,0,2020-04-20
シエラレオネ,35,0,2020-04-20
ブルンジ,5,0,2020-04-20
ボツワナ,15,1,2020-04-20
マラウイ,17,2,2020-04-20
ボネール、シント・ユースタティウス及びサバ,5,0,2020-04-20
フォークランド諸島（英領）,11,0,2020-04-20
西サハラ,6,0,2020-04-20
南スーダン共和国,4,0,2020-04-20
サントメ・プリンシペ,4,0,2020-04-20
イエメン共和国,1,0,2020-04-20
その他,712,13,2020-04-20
中国,82758,4632,2020-04-21
香港,1026,4,2020-04-21
マカオ,45,0,2020-04-21
日本,11118,186,2020-04-21
韓国,10683,237,2020-04-21
台湾,422,6,2020-04-21
シンガポール,8014,11,2020-04-21
ネパール,31,0,2020-04-21
タイ,2792,47,2020-04-21
ベトナム,268,0,2020-04-21
マレーシア,5425,89,2020-04-21
豪州,6612,70,2020-04-21
米国,783290,41872,2020-04-21
